Name,Financial Status,Paid at,Currency,Subtotal,Shipping,Taxes,Total,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Cancelled at,Payment Method,Refunded Amount,Outstanding Balance,Id,Tags,Source,Lineitem discount
#1673,paid,2026-03-16 21:47:10 -0400,USD,51.54,7.50,0.00,59.04,9.09,Economy,2026-03-16 21:47:09 -0400,1,11.99,19.99,AP_EP02,TRUE,TRUE,palm bay,'32909,FL,US,,Shopify Payments,0.00,0.00,7209752789302,Pre-Order,web,0.00
#1673,,,,,,,,,,2026-03-16 21:47:09 -0400,1,11.99,19.99,AP_AF02,TRUE,TRUE,,,,,,,,,,,,0.00
#1673,,,,,,,,,,2026-03-16 21:47:09 -0400,1,21.66,33.32,AP_SN04,TRUE,TRUE,,,,,,,,,,,,0.00
#1673,,,,,,,,,,2026-03-16 21:47:09 -0400,1,14.99,19.99,NT_SNC360,TRUE,TRUE,,,,,,,,,,,,0.00
#1672,paid,2026-03-16 21:47:00 -0400,USD,84.24,0.00,0.00,84.24,0.00,Economy,2026-03-16 21:46:59 -0400,1,11.99,19.99,AP_MW02,TRUE,TRUE,Ellicott City,'21043,MD,US,,Shopify Payments,0.00,0.00,7209752690998,pre-order,web,0.00
#1672,,,,,,,,,,2026-03-16 21:46:59 -0400,1,10.39,15.99,GPTC15,TRUE,TRUE,,,,,,,,,,,,0.00
#1672,,,,,,,,,,2026-03-16 21:46:59 -0400,1,25.89,25.89,AB_Set5,TRUE,TRUE,,,,,,,,,,,,0.00
#1672,,,,,,,,,,2026-03-16 21:46:59 -0400,1,11.99,19.99,AP_EP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1672,,,,,,,,,,2026-03-16 21:46:59 -0400,1,11.99,19.99,AP_AF02,TRUE,TRUE,,,,,,,,,,,,0.00
#1672,,,,,,,,,,2026-03-16 21:46:59 -0400,1,11.99,19.99,AP_SN02,TRUE,TRUE,,,,,,,,,,,,0.00
#1671,paid,2026-03-16 19:46:15 -0400,USD,17.67,7.50,0.00,25.17,3.11,Economy,2026-03-16 19:46:12 -0400,1,10.39,15.99,GPTC15,TRUE,TRUE,Milton,'25541,WV,US,,Shopify Payments,0.00,0.00,7209597567286,Simple Bundles 2.0 - Bundle Order,web,0.00
#1671,,,,,,,,,,2026-03-16 19:46:12 -0400,1,10.39,15.99,GP_B15,TRUE,TRUE,,,,,,,,,,,,0.00
#1670,paid,2026-03-16 19:09:53 -0400,USD,35.97,7.50,0.00,43.47,0.00,Economy,2026-03-16 19:09:51 -0400,1,11.99,19.99,AP_EP02,TRUE,TRUE,Rifle,'81650,CO,US,,Shopify Payments,0.00,0.00,7209552871734,,web,0.00
#1670,,,,,,,,,,2026-03-16 19:09:51 -0400,1,11.99,19.99,AP_AF02,TRUE,TRUE,,,,,,,,,,,,0.00
#1670,,,,,,,,,,2026-03-16 19:09:51 -0400,1,11.99,19.99,AP_SN02,TRUE,TRUE,,,,,,,,,,,,0.00
#1669,paid,2026-03-16 11:22:08 -0400,USD,22.01,7.50,0.00,29.51,3.88,Economy,2026-03-16 11:22:05 -0400,1,25.89,25.89,AB_Set5,TRUE,TRUE,Corpus Christi,'78412,TX,US,,Shopify Payments,0.00,0.00,7208745468214,pre-order,web,0.00
